API,Endpoint Name,Method,Path,Status,Expected Status Code,Response Check,Error Mapping,Caching,Notes
JSONPlaceholder,Get All Posts,GET,/posts,PASS,200,PASS,mapPostsError,No Cache,"Returns array of 100 posts, normalized correctly"
JSONPlaceholder,Get Post by ID,GET,/posts/:id,PASS,200,PASS,mapPostsError,No Cache,"Returns single post object, 404 for invalid ID"
JSONPlaceholder,Get Post Comments,GET,/posts/:id/comments,PASS,200,PASS,mapPostsError,No Cache,"Returns comments array, normalized correctly"
JSONPlaceholder,Create Post,POST,/posts,PASS,201,PASS,mapPostsError,No Cache,"Mock creation returns id 101"
JSONPlaceholder,Update Post (PUT),PUT,/posts/:id,PASS,200,PASS,mapPostsError,No Cache,"Full resource replacement"
JSONPlaceholder,Update Post (PATCH),PATCH,/posts/:id,PASS,200,PASS,mapPostsError,No Cache,"Partial update of specified fields"
JSONPlaceholder,Delete Post,DELETE,/posts/:id,PASS,200,PASS,mapPostsError,No Cache,"Mock deletion returns empty object"
Rick & Morty,Get Characters (Default),GET,/character,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Pagination working, 20 characters per page"
Rick & Morty,Get Characters (Page 2),GET,/character?page=2,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Page 2 data returned correctly"
Rick & Morty,Filter by Name,GET,/character?name=rick,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Name filtering works, 404 for no matches"
Rick & Morty,Filter by Status,GET,/character?status=alive,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Status filter working correctly"
Rick & Morty,Filter by Species,GET,/character?species=human,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Species filter working correctly"
Rick & Morty,Filter by Gender,GET,/character?gender=male,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Gender filter working correctly"
Rick & Morty,Multiple Filters,GET,/character?name=rick&status=alive&species=human,PASS,200,PASS,mapRickMortyError,In-Memory 5min,"Combined filters work correctly"
REST Countries,Get All Countries,GET,/all,PASS,200,PASS,mapCountriesError,localStorage 10min,"Returns 250+ countries, cached efficiently"
REST Countries,Get Country by Name,GET,/name/:name,PASS,200,PASS,mapCountriesError,localStorage 10min,"Search by name works, returns array"
REST Countries,Get Country by Code,GET,/alpha/:code,PASS,200,PASS,mapCountriesError,localStorage 10min,"Accepts alpha-2 and alpha-3 codes"
REST Countries,Filter by Region,GET,/region/:region,PASS,200,PASS,mapCountriesError,localStorage 10min,"Region filtering works correctly"
WeatherAPI,Get Current Weather by City,GET,/current.json?key={KEY}&q={CITY}&aqi={AQI},BLOCKED,200,BLOCKED,mapWeatherError,localStorage 10min,"CRITICAL: Requires API key configuration"
WeatherAPI,Get Current Weather by Coords,GET,/current.json?key={KEY}&q={LAT},{LON}&aqi={AQI},BLOCKED,200,BLOCKED,mapWeatherError,localStorage 10min,"Requires API key configuration"
WeatherAPI,Get Current Weather by IP,GET,/current.json?key={KEY}&q=auto:ip&aqi={AQI},BLOCKED,200,BLOCKED,mapWeatherError,localStorage 10min,"Requires API key configuration"
WeatherAPI,Location Search,GET,/search.json?key={KEY}&q={QUERY},BLOCKED,200,BLOCKED,mapWeatherError,No Cache,"Autocomplete endpoint, requires API key"
WeatherAPI,Get Forecast (14 Days),GET,/forecast.json?key={KEY}&q={CITY}&days={DAYS}&aqi={AQI},BLOCKED,200,BLOCKED,mapWeatherError,localStorage 10min,"Requires API key, free plan max 3 days"
WeatherAPI,Get Historical Weather,GET,/history.json?key={KEY}&q={CITY}&dt={DATE},BLOCKED,200,BLOCKED,mapWeatherError,localStorage 10min,"Requires API key, date format YYYY-MM-DD"
